출원번호,일련번호,특허유형
1020190055630,2001918330000,Y1
1020090119438,1020070071476,A
1020150085364,1012093350000,B1
1020150085364,2004050350000,Y1
1020150085364,2020140004344,U
1020120062613,1020060055785,A
1020120062613,2003528270000,Y1
1020120062613,2020100010452,U
1020120062613,2004233790000,Y1
1020080081143,2003613630000,Y1
1020080081143,2003937040000,Y1
1020080081143,2020070000162,U
1020080081143,2002217010000,Y1
1020060026285,1020020026292,A
1020060026285,1020030071448,A
1020060026285,2003965430000,Y1
1020130111075,1020130020088,A
1020130111075,1020130011726,A
1020160024142,1015355090000,B1
1020160024142,1020160009461,A
1020100102497,1020090109525,A
1020100102497,1020100028612,A
1020080004826,1002898710000,B1
1020080004826,1007556460000,B1
1020200185749,1010776000000,B1
1020200185749,1020120085443,A
1020200185749,2004094830000,Y1
1020200185749,2019990035816,U
1020200185749,1020100019045,A
1020080031220,1007767820000,B1
1020080031220,1005322280000,B1
1020080031220,1020080067481,A
1020080073940,1007126190000,B1
1020080073940,2019890006285,Y1
1020120139382,2020120004784,U
1020120139382,2002343890000,Y1
1020120139382,1020100066825,A
1020120139382,2004391870000,Y1
1020090045551,1002815070000,B1
1020090045551,1020060092320,A
1020090045551,1009177870000,B1
1020200156111,1020130035264,A
1020190103558,2019830001456,Y1
1020150166939,1007232620000,B1
1020150166939,1020090096010,A
1020150166939,2019850001156,Y1
1020150166939,1020050038765,A
1020150166939,1009489080000,B1
1020150166939,2019990024215,U
1020150166939,1020140091423,A
1020150166939,1020060101137,A
1020150166939,2019990022782,U
1020150166939,2001733330000,Y1
1020140016320,1011097050000,B1
1020140016320,2019980057023,U
1020140016320,2020110001631,U
1020140016320,1020070050888,A
1020090079325,2002580150000,Y1
1020090079325,1006626970000,B1
1020090079325,2003151970000,Y1
1020210028791,1016409380000,B1
1020210028791,1020000032992,A
1020210028791,2004469800000,Y1
1020080068783,1020030073442,A
1020080068783,2002671780000,Y1
1020080068783,2004047040000,Y1
1020080068783,2003306760000,Y1
1020100065476,1003501610000,B1
1020100065476,1020010056546,A
1020160104147,1020110036986,A
1020160104147,1020000026731,A
1020160104147,2003854430000,Y1
1020160104147,1020160050532,A
1020160104147,1020120118211,A
1020160104147,1020120096679,A
1020160183975,1005751870000,B1
1020210050638,1008757180000,B1
1020210050638,1020110094509,A
1020180087391,1020070073137,A
1020180087391,2020100002883,U
1020180087391,1014673370000,B1
1020180087391,2004520510000,Y1
1020180087391,1011607930000,B1
1020170151346,1020040082703,A
1020170151346,1010269370000,B1
1020170151346,2002244140000,Y1
1020170151346,2020080003871,U
1020170151346,1007807000000,B1
1020170151346,1002815070000,B1
1020100108135,1008611670000,B1
1020100108135,1019890003468,B1
1020060047985,2002415310000,Y1
1020080094721,1002670420000,B1
1020080094721,2002159640000,Y1
1020080094721,2019980014279,U
1020120103869,2020100005324,U
1020070069293,,10-2006-0016513 A
1020070069293,,10-2007-0052162 A
